id,epoch_ms,datetime_utc,latitude,longitude,type
1160,1688322260000.0,2023-07-02 18.24.20.000,-3.1965427473082624,124.8404815156694,2
1161,1688322284000.0,2023-07-02 18.24.44.000,1.9131685991753016,123.9760819962429,2
1162,1688322325000.0,2023-07-02 18.25.25.000,-2.0776526102269437,126.02534755488328,2
1163,1688322372000.0,2023-07-02 18.26.12.000,1.9071316681364927,123.55956775292744,1
1164,1688322383000.0,2023-07-02 18.26.23.000,3.06887514758135,123.88363351088464,2
1165,1688322421000.0,2023-07-02 18.27.01.000,1.5633844704857105,124.01673766806424,2
1166,1688322433000.0,2023-07-02 18.27.13.000,2.060202807607126,123.46615160682389,0
1167,1688322433000.0,2023-07-02 18.27.13.000,2.80150567579536,124.76407871075058,2
1168,1688322449000.0,2023-07-02 18.27.29.000,-1.366427251750554,123.8856020296719,2
1169,1688322449000.0,2023-07-02 18.27.29.000,-0.8580853382211125,122.12670587327386,0
1170,1688322469000.0,2023-07-02 18.27.49.000,2.9916584273382854,124.08068139343715,0
1171,1688322477000.0,2023-07-02 18.27.57.000,1.8646955650869246,124.09255580479106,0
1172,1688322501000.0,2023-07-02 18.28.21.000,3.8528948813575865,125.70868301713233,2
1173,1688322526000.0,2023-07-02 18.28.46.000,2.199479491086531,123.03883737591619,0
1174,1688322527000.0,2023-07-02 18.28.47.000,1.9886579506835806,123.45277993275403,0
1175,1688322544000.0,2023-07-02 18.29.04.000,2.323486976214183,123.58213401633438,0
1176,1688322550000.0,2023-07-02 18.29.10.000,-1.185741964332758,123.7704775233699,2
1177,1688322567000.0,2023-07-02 18.29.27.000,1.8331129831166377,124.15784240360611,2
1178,1688322568000.0,2023-07-02 18.29.28.000,-0.4817790581819052,123.40214839149698,0
1179,1688322571000.0,2023-07-02 18.29.31.000,0.6347401542820791,132.8899530359615,2
1180,1688322599000.0,2023-07-02 18.29.59.000,6.178370794233927,126.97014755882692,2
1181,1688322621000.0,2023-07-02 18.30.21.000,1.9468276018754116,123.60919160037398,2
1182,1688322629000.0,2023-07-02 18.30.29.000,1.796586305977169,124.33511648079961,0
1183,1688322630000.0,2023-07-02 18.30.30.000,1.4943807794537562,123.99211686756185,2
1184,1688322678000.0,2023-07-02 18.31.18.000,1.903080656225525,123.88760816812868,0
